timestamp;frequency_mean_Hz;frequency_min_Hz;frequency_max_Hz;activation_factor_signed;activation_factor_positive;activation_factor_negative;activation_factor_absolute;raw_samples;raw_coverage_percent;source_data_original;data_filled;source_timestamp
02.01.2021 03:30;50,016916;49,998;50,035;-0,03929825;0;0,03929825;0,03929825;900;100;False;True;01.01.2021 03:30
02.01.2021 03:45;50,021101;49,99;50,046;-0,06275439;0;0,06275439;0,06275439;900;100;False;True;01.01.2021 03:45
02.01.2021 04:00;50,00731;49,989;50,027;-0,01425731;2,339e-05;0,0142807;0,01430409;900;100;False;True;01.01.2021 04:00
02.01.2021 04:15;50,007223;49,989;50,025;-0,00859064;5,85e-06;0,00859649;0,00860234;900;100;False;True;01.01.2021 04:15
02.01.2021 04:30;50,003833;49,986;50,025;-0,00690058;0,00027485;0,00717544;0,00745029;900;100;False;True;01.01.2021 04:30
02.01.2021 04:45;50,009224;49,983;50,037;-0,02069591;0,00109942;0,02179532;0,02289474;900;100;False;True;01.01.2021 04:45
02.01.2021 05:00;50,011561;49,986;50,05;-0,03228655;0,00047368;0,03276023;0,03323392;900;100;False;True;01.01.2021 05:00
02.01.2021 05:15;50,004353;49,983;50,024;-0,00545614;0,00095906;0,0064152;0,00737427;900;100;False;True;01.01.2021 05:15
02.01.2021 05:30;49,996232;49,975;50,018;0,00575439;0,00767836;0,00192398;0,00960234;900;100;False;True;01.01.2021 05:30
02.01.2021 05:45;49,997187;49,978;50,024;0,00264912;0,00867251;0,00602339;0,01469591;900;100;False;True;01.01.2021 05:45
02.01.2021 06:00;50,027771;49,992;50,066;-0,09812281;0;0,09812281;0,09812281;900;100;False;True;01.01.2021 06:00
02.01.2021 06:15;49,998088;49,973;50,024;0,00469006;0,01017544;0,00548538;0,01566082;900;100;False;True;01.01.2021 06:15
02.01.2021 06:30;49,997351;49,977;50,023;0,00554971;0,01083626;0,00528655;0,01612281;900;100;False;True;01.01.2021 06:30
02.01.2021 06:45;49,98953;49,962;50,024;0,02681871;0,02818129;0,00136257;0,02954386;900;100;False;True;01.01.2021 06:45
02.01.2021 07:00;50,01066;49,971;50,059;-0,04570175;0,0061462;0,05184795;0,05799415;900;100;False;True;01.01.2021 07:00
02.01.2021 07:15;49,994232;49,965;50,025;0,01106433;0,01451462;0,00345029;0,01796491;900;100;False;True;01.01.2021 07:15
02.01.2021 07:30;50,002177;49,974;50,035;-0,00990643;0,00809942;0,01800585;0,02610526;900;100;False;True;01.01.2021 07:30
02.01.2021 07:45;50,007238;49,982;50,054;-0,0231345;0,0008655;0,024;0,0248655;900;100;False;True;01.01.2021 07:45
02.01.2021 08:00;50,013178;49,972;50,066;-0,06374269;0,0100117;0,07375439;0,08376608;900;100;False;True;01.01.2021 08:00
02.01.2021 08:15;49,985522;49,972;50,017;0,03151462;0,03182456;0,00030994;0,0321345;900;100;False;True;01.01.2021 08:15
02.01.2021 08:30;49,988397;49,971;50,021;0,02071345;0,02135673;0,00064327;0,022;900;100;False;True;01.01.2021 08:30
02.01.2021 08:45;49,996348;49,974;50,024;0,00559064;0,00835673;0,00276608;0,01112281;900;100;False;True;01.01.2021 08:45
02.01.2021 09:00;50,004998;49,977;50,027;-0,00952632;0,00412865;0,01365497;0,01778363;900;100;False;True;01.01.2021 09:00
02.01.2021 09:15;49,998817;49,978;50,018;0,00118713;0,00295906;0,00177193;0,00473099;900;100;False;True;01.01.2021 09:15
02.01.2021 09:30;49,996462;49,968;50,017;0,00699415;0,00872515;0,00173099;0,01045614;900;100;False;True;01.01.2021 09:30
02.01.2021 09:45;49,995843;49,975;50,014;0,00617544;0,00665497;0,00047953;0,0071345;900;100;False;True;01.01.2021 09:45
