time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210922:0710;182,7;0,1827;228,98;16,78;8,95;0,55;0
20210922:0810;307,01;0,30701;374,48;25,13;11,06;0,41;0
20210922:0910;449,02;0,44902;557,6;32,15;13,41;0,21;0
20210922:1010;640,91;0,64091;829,2;37,14;15,03;0,21;0
20210922:1110;607,45;0,60745;782,88;39,39;16,23;0,41;0
20210922:1210;630,52;0,63052;814,58;38,51;17,11;0,69;0
20210922:1310;612,26;0,61226;788,11;34,65;17,7;0,76;0
20210922:1410;479,29;0,47929;607,3;28,43;18,02;0,62;0
20210922:1510;329,05;0,32905;418,53;20,58;18,02;0,55;0
20210922:1610;140,95;0,14095;202,65;11,73;17,74;0,55;0
20210922:1710;2,31;0,00231;11,01;2,39;16,89;0,62;0
20210922:1810;0;0;0;0;16,04;0,34;0
20210922:1910;0;0;0;0;15,27;0,76;0
20210922:2010;0;0;0;0;12,69;1,38;0
20210922:2110;0;0;0;0;10,7;1,86;0
20210922:2210;0;0;0;0;10,05;2,07;0
20210922:2310;0;0;0;0;9,76;2,14;0
20210923:0010;0;0;0;0;9,65;2,21;0
20210923:0110;0;0;0;0;9,59;2,21;0
20210923:0210;0;0;0;0;9,51;2,21;0
20210923:0310;0;0;0;0;9,28;2,07;0
20210923:0410;0;0;0;0;8,93;1,93;0
20210923:0510;0;0;0;0;8,68;2,07;0
20210923:0610;80,1;0,0801;123,66;7,41;8,79;2;0
20210923:0710;285,59;0,28559;352,95;16,51;11,65;1,79;0
20210923:0810;457,76;0,45776;559,61;24,85;14,75;2,07;0
20210923:0910;598,5;0,5985;737,94;31,84;16,49;3,1;0
20210923:1010;699,26;0,69926;872,57;36,79;17,81;3,79;0
20210923:1110;672,33;0,67233;839,28;39,01;18,93;4,21;0
20210923:1210;648,18;0,64818;806,92;38,11;19,72;4,69;0
20210923:1310;612,46;0,61246;757,01;34,25;19,89;5,17;0
20210923:1410;463,86;0,46386;567,58;28,04;19,62;5,72;0
20210923:1510;239,41;0,23941;302,06;20,21;19,22;5,38;0
20210923:1610;49,29;0,04929;77,13;11,37;18,55;4,14;0
20210923:1710;0,72;0,00072;7,62;2,03;17,99;3,72;0
20210923:1810;0;0;0;0;17,24;3,52;0
20210923:1910;0;0;0;0;16,82;3,66;0
20210923:2010;0;0;0;0;16,34;3,52;0
20210923:2110;0;0;0;0;16,09;3,24;0
20210923:2210;0;0;0;0;15,72;2,83;0
20210923:2310;0;0;0;0;15,4;2,76;0
20210924:0010;0;0;0;0;15,32;2,9;0
20210924:0110;0;0;0;0;15,34;2,9;0
20210924:0210;0;0;0;0;15,2;2,76;0
20210924:0310;0;0;0;0;15,12;2,62;0
20210924:0410;0;0;0;0;15,03;2,41;0
20210924:0510;0;0;0;0;14,92;2,28;0
20210924:0610;25,6;0,0256;46,66;7,16;14,9;2,28;0
20210924:0710;195,44;0,19544;248,29;16,25;14,94;2,83;0
20210924:0810;127,19;0,12719;167,25;24,56;15,61;3,03;0
20210924:0910;339,81;0,33981;416,58;31,52;16,94;3,45;0
20210924:1010;427,08;0,42708;524,81;36,43;18,05;3,66;0
20210924:1110;201,76;0,20176;257,73;38,62;18,99;3,79;0
20210924:1210;159,34;0,15934;208,18;37,71;19,15;3,38;0
20210924:1310;123,16;0,12316;165,45;33,85;19,19;3,1;0
20210924:1410;39,95;0,03995;64,57;27,65;19,3;3,45;0
20210924:1510;62,55;0,06255;92,64;19,83;19,25;3,38;0
20210924:1610;54,17;0,05417;84,16;11,01;18,86;2,9;0
20210924:1710;0;0;2,54;1,67;18,22;2,41;0
20210924:1810;0;0;0;0;17,66;2,21;0
20210924:1910;0;0;0;0;16,6;2,21;0
20210924:2010;0;0;0;0;16,43;2,21;0
20210924:2110;0;0;0;0;15,99;2,21;0
20210924:2210;0;0;0;0;15,54;2,07;0
20210924:2310;0;0;0;0;14,69;2,07;0
20210925:0010;0;0;0;0;14,17;2,07;0
20210925:0110;0;0;0;0;13,59;2,07;0
20210925:0210;0;0;0;0;13,16;2;0
20210925:0310;0;0;0;0;12,75;2;0
20210925:0410;0;0;0;0;12,41;2;0
20210925:0510;0;0;0;0;12,01;1,93;0
20210925:0610;64,6;0,0646;103,32;6,91;11,83;1,72;0
20210925:0710;270,91;0,27091;337,67;15,99;13,18;1,79;0
20210925:0810;471,85;0,47185;578,6;24,27;15,04;1,93;0
20210925:0910;604,58;0,60458;757,72;31,2;16,82;1,86;0
20210925:1010;676,63;0,67663;866,42;36,08;18,29;1,79;0
20210925:1110;691,9;0,6919;899,7;38,24;19,23;1,45;0
20210925:1210;662,98;0,66298;864,66;37,31;20,04;1,24;0
20210925:1310;627,09;0,62709;810,76;33,45;20,65;1,45;0
20210925:1410;500,07;0,50007;634,65;27,27;21,03;1,72;0
20210925:1510;347,26;0,34726;444,03;19,46;21,04;1,79;0
20210925:1610;111,26;0,11126;164,76;10,64;20,55;1,52;0
20210925:1710;0;0;2,54;1,32;19,09;2,07;0
20210925:1810;0;0;0;0;17,33;2,41;0
20210925:1910;0;0;0;0;16,47;2,34;0
20210925:2010;0;0;0;0;15,6;2,48;0
20210925:2110;0;0;0;0;15,26;2,62;0
20210925:2210;0;0;0;0;15,14;2,76;0
20210925:2310;0;0;0;0;15,32;2,9;0
20210926:0010;0;0;0;0;15,79;3,03;0
20210926:0110;0;0;0;0;15,81;3,03;0
20210926:0210;0;0;0;0;15,84;2,97;0
20210926:0310;0;0;0;0;15,74;2,76;0
20210926:0410;0;0;0;0;15,75;2,62;0
20210926:0510;0;0;0;0;15,59;2,76;0
20210926:0610;41,86;0,04186;71,55;6,66;15,88;2,69;0
20210926:0710;241,73;0,24173;306,11;15,72;16,26;2,28;0
20210926:0810;440,64;0,44064;544,42;23,98;17,46;2,21;0
20210926:0910;578,44;0,57844;722,47;30,87;18,59;2,62;0
20210926:1010;618,46;0,61846;778,72;35,72;19,94;3,1;0
20210926:1110;138,58;0,13858;185,52;37,85;21,36;3,24;0
20210926:1210;211,48;0,21148;273,03;36,91;21,82;3,03;0
20210926:1310;79,49;0,07949;114,58;33,06;21,96;2,97;0
20210926:1410;82,9;0,0829;118,22;26,88;20,85;2,76;0
20210926:1510;79,21;0,07921;113,55;19,09;20,18;1,86;0
20210926:1610;71,57;0,07157;109,28;10,28;20,01;1,45;0
20210926:1710;0;0;0;0;19,39;1,72;0
20210926:1810;0;0;0;0;18,24;2,14;0
20210926:1910;0;0;0;0;17,51;2,62;0
20210926:2010;0;0;0;0;16,89;2,76;0
20210926:2110;0;0;0;0;16,34;2,21;0
20210926:2210;0;0;0;0;15,69;2,07;0
20210926:2310;0;0;0;0;15,05;2,14;0
20210927:0010;0;0;0;0;14,71;2,28;0
20210927:0110;0;0;0;0;14,58;2,28;0
20210927:0210;0;0;0;0;14,47;2,21;0
20210927:0310;0;0;0;0;14,24;2,14;0
20210927:0410;0;0;0;0;14,24;2,34;0
20210927:0510;0;0;0;0;14,18;2,48;0
20210927:0610;15,77;0,01577;32,35;6,41;14,6;2,55;0
20210927:0710;212,15;0,21215;268,62;15,46;15,59;3,24;0
20210927:0810;272,86;0,27286;336,32;23,69;16,56;3,59;0
20210927:0910;391,03;0,39103;477,82;30,55;17,78;4,21;0
20210927:1010;198,26;0,19826;252,56;35,36;19,12;5,52;0
20210927:1110;278,61;0,27861;347,88;37,47;19,47;4,62;0
20210927:1210;175,66;0,17566;227,72;36,51;19,89;4,14;0
20210927:1310;262,55;0,26255;329,95;32,66;19,98;3,79;0
20210927:1410;39,86;0,03986;64,57;26,5;19,66;3,1;0
20210927:1510;99,17;0,09917;136,64;18,71;18,9;3,31;0
20210927:1610;31,21;0,03121;53,58;9,92;18,38;4;0
20210927:1710;0;0;0;0;17,62;3,59;0
20210927:1810;0;0;0;0;15,87;4,28;0
20210927:1910;0;0;0;0;14,74;3,52;0
20210927:2010;0;0;0;0;13,68;2,97;0
20210927:2110;0;0;0;0;12,76;2,55;0
20210927:2210;0;0;0;0;12,25;2,41;0
20210927:2310;0;0;0;0;11,65;2,34;0
20210928:0010;0;0;0;0;11,24;2,14;0
20210928:0110;0;0;0;0;11,33;2,07;0
20210928:0210;0;0;0;0;11,21;1,86;0
20210928:0310;0;0;0;0;10,62;1,93;0
20210928:0410;0;0;0;0;9,91;2;0
20210928:0510;0;0;0;0;9,5;1,86;0
20210928:0610;68,95;0,06895;109,68;6,16;9,46;1,79;0
20210928:0710;259,75;0,25975;322,39;15,19;11,4;1,31;0
20210928:0810;397,45;0,39745;483,42;23,4;13,14;1,52;0
20210928:0910;455,47;0,45547;558,94;30,23;14,37;1,45;0
20210928:1010;352,47;0,35247;434,49;35;15,38;1,52;0
20210928:1110;454,31;0,45431;561,62;37,08;16,04;1,79;0
20210928:1210;610,96;0,61096;767,22;36,11;16,63;1,93;0
20210928:1310;277,26;0,27726;345,5;32,27;17,13;2,07;0
20210928:1410;285,08;0,28508;354,67;26,11;17,34;2,07;0
20210928:1510;133,44;0,13344;176,64;18,34;17,28;2,07;0
20210928:1610;18,77;0,01877;36,38;9,56;16,78;2,07;0
20210928:1710;0;0;0;0;15,62;2,34;0
20210928:1810;0;0;0;0;14,78;2,55;0
20210928:1910;0;0;0;0;14,06;2,9;0
20210928:2010;0;0;0;0;14,21;2,97;0
20210928:2110;0;0;0;0;13,93;2,97;0
20210928:2210;0;0;0;0;13,56;3,1;0
20210928:2310;0;0;0;0;13,33;3,1;0
20210929:0010;0;0;0;0;13,02;3,03;0
20210929:0110;0;0;0;0;12,78;2,97;0
20210929:0210;0;0;0;0;12,59;3,03;0
20210929:0310;0;0;0;0;12,41;3,1;0
20210929:0410;0;0;0;0;12,47;3,24;0
20210929:0510;0;0;0;0;12,27;3,38;0
20210929:0610;28,13;0,02813;51,02;5,9;12,13;3,45;0
20210929:0710;75,2;0,0752;104,98;14,92;12,05;3,31;0
20210929:0810;29,6;0,0296;50,02;23,11;13,12;3,52;0
20210929:0910;248,58;0,24858;304,43;29,9;13,64;3,66;0
20210929:1010;321,65;0,32165;387,44;34,64;12,88;4,07;0
20210929:1110;142,14;0,14214;181,93;36,69;12,37;5,24;0
20210929:1210;38,43;0,03843;60,93;35,71;12,51;4,62;0
20210929:1310;659,17;0,65917;787,32;31,87;13,66;6;0
20210929:1410;379,18;0,37918;453,68;25,73;13,96;5,24;0
20210929:1510;184,39;0,18439;231,64;17,97;13,62;5,03;0
20210929:1610;97,01;0,09701;141,39;9,19;13,28;5,45;0
20210929:1710;0;0;0;0;12,24;4,62;0
20210929:1810;0;0;0;0;11,65;4,21;0
20210929:1910;0;0;0;0;10,81;4,55;0
20210929:2010;0;0;0;0;10,36;4,07;0
20210929:2110;0;0;0;0;9,85;4;0
20210929:2210;0;0;0;0;9,5;3,86;0
20210929:2310;0;0;0;0;9,25;3,72;0
20210930:0010;0;0;0;0;9,46;3,59;0
20210930:0110;0;0;0;0;9,19;3,38;0
20210930:0210;0;0;0;0;8,86;3,17;0
20210930:0310;0;0;0;0;8,62;3,24;0
20210930:0410;0;0;0;0;8,29;3,17;0
20210930:0510;0;0;0;0;8,16;2,97;0
20210930:0610;53,19;0,05319;87,64;5,65;8,02;2,83;0
20210930:0710;267,69;0,26769;326,07;14,65;8,65;2,34;0
20210930:0810;451,05;0,45105;536,65;22,82;10,45;2,76;0
20210930:0910;642,92;0,64292;776,48;29,58;12,01;3,24;0
20210930:1010;605,92;0,60592;730,63;34,29;13,33;4,07;0
20210930:1110;580,78;0,58078;700,28;36,31;14,09;4,48;0
20210930:1210;424,94;0,42494;511,73;35,32;14,53;4,34;0
20210930:1310;257,16;0,25716;315,65;31,48;14,91;4,34;0
20210930:1410;167,56;0,16756;212,58;25,35;14,79;4,34;0
20210930:1510;140,06;0,14006;181,54;17,6;14,04;3,1;0
20210930:1610;48,51;0,04851;76,54;8,83;13,78;2,83;0
20210930:1710;0;0;0;0;12,92;2,34;0
20210930:1810;0;0;0;0;11,76;2,55;0
20210930:1910;0;0;0;0;11,13;2,9;0
20210930:2010;0;0;0;0;11,19;3,17;0
20210930:2110;0;0;0;0;11,04;3,17;0
20210930:2210;0;0;0;0;10,72;3,17;0
20210930:2310;0;0;0;0;10,33;3,03;0
20211001:0010;0;0;0;0;9,97;3,1;0
20211001:0110;0;0;0;0;9,9;3,31;0
20211001:0210;0;0;0;0;9,67;3,38;0
20211001:0310;0;0;0;0;9,51;3,45;0
20211001:0410;0;0;0;0;9,43;3,52;0
20211001:0510;0;0;0;0;9,41;3,52;0
20211001:0610;54,81;0,05481;91,46;5,4;9,67;3,59;0
20211001:0710;278,36;0,27836;338,76;14,38;10,2;4,14;0
20211001:0810;316,38;0,31638;377,32;22,52;11,63;4,55;0
20211001:0910;612,79;0,61279;731,79;29,25;12,9;4,83;0
20211001:1010;545,5;0,5455;655,3;33,93;14,56;4,97;0
20211001:1110;634,29;0,63429;772,52;35,92;16,13;4,97;0
20211001:1210;420,2;0,4202;511;34,92;17,31;5,03;0
20211001:1310;244,64;0,24464;304,89;31,08;17,94;4,9;0
20211001:1410;187,44;0,18744;238,6;24,97;18,08;4,34;0
20211001:1510;104,51;0,10451;142,35;17,23;17,75;3,38;0
20211001:1610;19,43;0,01943;37,28;8,48;16,91;3,03;0
20211001:1710;0;0;0;0;15,61;2,9;0
20211001:1810;0;0;0;0;14,65;3,03;0
20211001:1910;0;0;0;0;13,29;3,38;0
20211001:2010;0;0;0;0;12,91;3,59;0
20211001:2110;0;0;0;0;12,21;3,24;0
20211001:2210;0;0;0;0;12,25;3,17;0
20211001:2310;0;0;0;0;12,48;3,31;0
20211002:0010;0;0;0;0;12,64;3,03;0
20211002:0110;0;0;0;0;12,37;2,69;0
20211002:0210;0;0;0;0;12,4;2,55;0
20211002:0310;0;0;0;0;11,95;2,55;0
20211002:0410;0;0;0;0;12,1;2,48;0
20211002:0510;0;0;0;0;12,16;2,48;0
20211002:0610;41,34;0,04134;72,56;5,14;12,15;2,48;0
20211002:0710;19,9;0,0199;37,28;14,11;12,33;2,48;0
20211002:0810;77,68;0,07768;108,43;22,23;13,57;3,03;0
20211002:0910;81,16;0,08116;112,76;28,93;14,39;4,76;0
20211002:1010;299,85;0,29985;365,43;33,57;15,71;5,17;0
20211002:1110;115,91;0,11591;154,59;35,54;16,02;3,72;0
20211002:1210;423,12;0,42312;514,16;34,52;16,5;4,28;0
20211002:1310;48,49;0,04849;74,57;30,69;17,12;5,03;0
20211002:1410;119,47;0,11947;159,11;24,59;17,46;5,03;0
20211002:1510;102,83;0,10283;140,1;16,87;17,6;4,34;0
20211002:1610;24,78;0,02478;45,08;8,12;17,22;4,28;0
20211002:1710;0;0;0;0;16,92;4,62;0
20211002:1810;0;0;0;0;17,07;5,03;0
20211002:1910;0;0;0;0;16,94;6,48;0
20211002:2010;0;0;0;0;16,84;6,83;0
20211002:2110;0;0;0;0;16,86;6,9;0
20211002:2210;0;0;0;0;17,16;6,9;0
20211002:2310;0;0;0;0;17,4;6,62;0
20211003:0010;0;0;0;0;17,59;6,34;0
20211003:0110;0;0;0;0;17,72;6,14;0
20211003:0210;0;0;0;0;17,84;6,28;0
20211003:0310;0;0;0;0;17,96;6,48;0
20211003:0410;0;0;0;0;18,17;6,9;0
20211003:0510;0;0;0;0;17,47;7,1;0
20211003:0610;0,59;0,00059;7,28;4,88;17,39;7,52;0
20211003:0710;14,24;0,01424;30,01;13,84;16,81;8;0
20211003:0810;16,78;0,01678;33,65;21,93;17,3;8,14;0
20211003:0910;47,09;0,04709;72,75;28,6;17,12;7,86;0
20211003:1010;40,39;0,04039;64,57;33,21;17,57;7,52;0
20211003:1110;38,78;0,03878;62,75;35,15;18,4;7,45;0
20211003:1210;44,41;0,04441;70,02;34,13;19,19;8,21;0
20211003:1310;37,38;0,03738;60,93;30,3;18,24;7,86;0
20211003:1410;39,02;0,03902;62,75;24,21;17,02;5,45;0
20211003:1510;37,68;0,03768;60,93;16,5;16,2;3,17;0
20211003:1610;0,6;0,0006;7,28;7,76;15,37;3,31;0
20211003:1710;0;0;0;0;14,57;2,9;0
20211003:1810;0;0;0;0;14,03;2,21;0
20211003:1910;0;0;0;0;12,98;2,97;0
20211003:2010;0;0;0;0;13,02;2,83;0
20211003:2110;0;0;0;0;12,98;2,76;0
20211003:2210;0;0;0;0;12,82;2,69;0
20211003:2310;0;0;0;0;12,55;2,62;0
20211004:0010;0;0;0;0;12,21;2,83;0
20211004:0110;0;0;0;0;12,02;2,55;0
20211004:0210;0;0;0;0;11,88;2,69;0
20211004:0310;0;0;0;0;11,79;2,83;0
20211004:0410;0;0;0;0;11,74;2,76;0
20211004:0510;0;0;0;0;11,6;2,76;0
20211004:0610;0;0;4,55;4,63;11,39;2,83;0
20211004:0710;101,02;0,10102;135,34;13,57;12,02;2,9;0
20211004:0810;154,64;0,15464;196,34;21,63;12,86;3,03;0
20211004:0910;187,7;0,1877;235,02;28,27;13,79;3,59;0
20211004:1010;112,95;0,11295;150,05;32,85;14,4;3,93;0
20211004:1110;509,74;0,50974;616,37;34,77;15,47;4,48;0
20211004:1210;564,61;0,56461;685,98;33,73;16,21;4,62;0
20211004:1310;473,06;0,47306;573,27;29,91;16,56;4,55;0
20211004:1410;386,47;0,38647;469,76;23,83;16,82;4,41;0
20211004:1510;242,26;0,24226;304,38;16,14;16,62;3,79;0
20211004:1610;83,98;0,08398;129,21;7,41;15,83;3,03;0
20211004:1710;0;0;0;0;14,34;2,69;0
20211004:1810;0;0;0;0;13,01;2,76;0
20211004:1910;0;0;0;0;12,14;3,1;0
20211004:2010;0;0;0;0;11,67;3,03;0
20211004:2110;0;0;0;0;11,3;2,9;0
20211004:2210;0;0;0;0;11,01;2,76;0
20211004:2310;0;0;0;0;10,95;2,9;0
20211005:0010;0;0;0;0;11,09;3,1;0
20211005:0110;0;0;0;0;11,01;2,97;0
20211005:0210;0;0;0;0;10,93;3,03;0
20211005:0310;0;0;0;0;10,82;2,97;0
20211005:0410;0;0;0;0;10,74;2,97;0
20211005:0510;0;0;0;0;10,58;3,1;0
20211005:0610;0;0;3,64;4,37;10,52;3,24;0
20211005:0710;140,84;0,14084;180,34;13,3;10,66;3,66;0
20211005:0810;465,04;0,46504;551,44;21,34;11,86;4,34;0
20211005:0910;617,87;0,61787;739,11;27,94;13,41;4,97;0
20211005:1010;719,53;0,71953;873,77;32,49;14,71;5,1;0
20211005:1110;752,16;0,75216;919,44;34,39;15,98;5,59;0
20211005:1210;32,53;0,03253;54,56;33,34;17,3;6,41;0
20211005:1310;73,87;0,07387;105,49;29,52;17,65;6;0
20211005:1410;34,82;0,03482;57,29;23,45;16,33;5,1;0
20211005:1510;45,34;0,04534;70,02;15,77;14,82;5,03;0
20211005:1610;17,17;0,01717;34,12;7,06;13,97;4,97;0
20211005:1710;0;0;0;0;13,43;4,28;0
20211005:1810;0;0;0;0;13,08;3,79;0
20211005:1910;0;0;0;0;12,01;3,1;0
20211005:2010;0;0;0;0;11,43;4,14;0
20211005:2110;0;0;0;0;10,9;4,48;0
20211005:2210;0;0;0;0;10,92;4,41;0
20211005:2310;0;0;0;0;10,81;4,21;0
20211006:0010;0;0;0;0;10,6;4,14;0
20211006:0110;0;0;0;0;10,42;4,28;0
20211006:0210;0;0;0;0;10,51;4,41;0
20211006:0310;0;0;0;0;10,49;4,41;0
20211006:0410;0;0;0;0;10,23;4,41;0
20211006:0510;0;0;0;0;10,3;4,48;0
20211006:0610;0;0;3,64;4,11;10,17;4,55;0
20211006:0710;6,07;0,00607;17,28;13,02;10,52;5,1;0
20211006:0810;111,8;0,1118;145,85;21,04;10,89;5,31;0
20211006:0910;78,73;0,07873;108,22;27,61;10,74;5,31;0
20211006:1010;59,91;0,05991;86,39;32,13;11,17;5,31;0
20211006:1110;32;0,032;52,74;34;11,7;5,03;0
20211006:1210;109,9;0,1099;144,59;32,95;11,65;5,17;0
20211006:1310;64,27;0,06427;91,85;29,13;12,02;5,38;0
20211006:1410;31,22;0,03122;51,83;23,08;12,06;5,03;0
20211006:1510;22,69;0,02269;40,92;15,41;12,17;4,41;0
20211006:1610;22,62;0,02262;41,86;6,71;11,7;3,72;0
20211006:1710;0;0;0;0;11,07;3,17;0
20211006:1810;0;0;0;0;10,97;2,83;0
20211006:1910;0;0;0;0;10,64;3,24;0
20211006:2010;0;0;0;0;10,55;3,1;0
20211006:2110;0;0;0;0;10,37;3,17;0
20211006:2210;0;0;0;0;10,45;2,97;0
20211006:2310;0;0;0;0;10,07;2,55;0
20211007:0010;0;0;0;0;9,76;2,34;0
20211007:0110;0;0;0;0;9,97;1,93;0
20211007:0210;0;0;0;0;9,78;1,79;0
20211007:0310;0;0;0;0;9,69;1,52;0
20211007:0410;0;0;0;0;9,91;1,1;0
20211007:0510;0;0;0;0;10;0,97;0
20211007:0610;13,91;0,01391;30,87;3,85;10,02;0,9;0
20211007:0710;95,74;0,09574;129,24;12,75;10,83;0,41;0
20211007:0810;199,72;0,19972;248,99;20,74;11,51;0,14;0
20211007:0910;287;0,287;352,42;27,29;12,14;0,28;0
20211007:1010;499,58;0,49958;618,38;31,77;13,03;0,62;0
20211007:1110;307,13;0,30713;378,43;33,62;13,55;0,76;0
20211007:1210;300,03;0,30003;370,43;32,56;13,94;0,76;0
20211007:1310;582,53;0,58253;730,19;28,75;14,47;0,9;0
20211007:1410;388,21;0,38821;477,21;22,7;14,46;1,03;0
20211007:1510;299,4;0,2994;375,49;15,05;14,55;1,17;0
20211007:1610;76,32;0,07632;120,29;6,36;14,26;0,9;0
20211007:1710;0;0;0;0;13,4;1,03;0
20211007:1810;0;0;0;0;12,39;1,03;0
20211007:1910;0;0;0;0;10,88;1,59;0
20211007:2010;0;0;0;0;10,32;1,31;0
20211007:2110;0;0;0;0;10;1,24;0
20211007:2210;0;0;0;0;9,58;1,31;0
20211007:2310;0;0;0;0;8,8;1,52;0
20211008:0010;0;0;0;0;8,13;1,66;0
20211008:0110;0;0;0;0;7,86;1,72;0
20211008:0210;0;0;0;0;7,37;1,66;0
20211008:0310;0;0;0;0;7,24;1,59;0
20211008:0410;0;0;0;0;6,96;1,52;0
20211008:0510;0;0;0;0;6,85;1,45;0
20211008:0610;23,46;0,02346;46,19;3,6;6,79;1,38;0
20211008:0710;258,28;0,25828;315,48;12,47;7,21;1,03;0
20211008:0810;471,52;0,47152;571,88;20,44;10,54;0,9;0
20211008:0910;613,08;0,61308;762,43;26,96;12,72;1,03;0
20211008:1010;698,28;0,69828;884,31;31,41;14,38;1,38;0
20211008:1110;718,19;0,71819;915,69;33,24;15,54;1,59;0
20211008:1210;0;0;0;0;16,43;1,86;0
20211008:1310;488,5;0,4885;602,61;28,36;17,09;2,41;0
20211008:1410;387,4;0,3874;476,52;22,33;17,5;2,76;0
20211008:1510;274,65;0,27465;347,13;14,7;17,37;2,48;0
20211008:1610;64,59;0,06459;104,96;6,01;16,53;1,93;0
20211008:1710;0;0;0;0;15,04;2,21;0
20211008:1810;0;0;0;0;13,56;2,41;0
20211008:1910;0;0;0;0;12,83;2,83;0
20211008:2010;0;0;0;0;12,49;2,83;0
20211008:2110;0;0;0;0;12,46;2,97;0
20211008:2210;0;0;0;0;12,2;2,97;0
20211008:2310;0;0;0;0;11,83;2,69;0
20211009:0010;0;0;0;0;10,75;2,28;0
20211009:0110;0;0;0;0;9,69;2,21;0
20211009:0210;0;0;0;0;8,83;2,14;0
20211009:0310;0;0;0;0;8,16;2,14;0
20211009:0410;0;0;0;0;7,62;2,14;0
20211009:0510;0;0;0;0;7,18;2,14;0
20211009:0610;18,06;0,01806;37,99;3,34;6,78;2,14;0
20211009:0710;253,89;0,25389;309,41;12,2;7,32;1,66;0
20211009:0810;474,02;0,47402;568,49;20,14;10,13;1,72;0
20211009:0910;623,85;0,62385;763,77;26,63;12,1;1,93;0
20211009:1010;712,52;0,71252;893,33;31,05;13,68;1,86;0
20211009:1110;727,45;0,72745;923,7;32,86;14,91;1,72;0
20211009:1210;719,02;0,71902;915,68;31,78;15,83;1,72;0
20211009:1310;635,99;0,63599;800,73;27,98;16,43;1,72;0
20211009:1410;492,58;0,49258;611,83;21,96;16,67;1,66;0
20211009:1510;278,64;0,27864;352,78;14,34;16,56;1,52;0
20211009:1610;59,43;0,05943;98,83;5,67;15,8;1,31;0
20211009:1710;0;0;0;0;14;1,79;0
20211009:1810;0;0;0;0;11,77;2,07;0
20211009:1910;0;0;0;0;10,58;2,34;0
20211009:2010;0;0;0;0;9,84;2,62;0
20211009:2110;0;0;0;0;9,35;2,76;0
20211009:2210;0;0;0;0;8,9;2,76;0
20211009:2310;0;0;0;0;8,43;2,55;0
20211010:0010;0;0;0;0;7,68;2,14;0
20211010:0110;0;0;0;0;6,75;1,93;0
20211010:0210;0;0;0;0;5,89;1,79;0
20211010:0310;0;0;0;0;5,24;1,79;0
20211010:0410;0;0;0;0;4,69;1,86;0
20211010:0510;0;0;0;0;4,3;1,86;0
20211010:0610;8,64;0,00864;22,5;3,08;4,07;1,66;0
20211010:0710;280,99;0,28099;338,59;11,92;5,13;1,38;0
20211010:0810;453,58;0,45358;542,68;19,84;8,81;1,24;0
20211010:0910;609,63;0,60963;745,27;26,3;10,98;1,52;0
20211010:1010;612,48;0,61248;756,86;30,7;12,62;1,52;0
20211010:1110;679,52;0,67952;862,85;32,48;13,64;0,97;0
20211010:1210;673,59;0,67359;866,46;31,4;14,25;0,48;0
20211010:1310;622,86;0,62286;796,43;27,6;14,72;0,34;0
20211010:1410;486,25;0,48625;608,77;21,6;14,93;0,41;0
20211010:1510;277,59;0,27759;351,24;13,99;14,82;0,55;0
20211010:1610;54,65;0,05465;91,96;5,33;14,2;0,62;0
20211010:1710;0;0;0;0;13,35;0,41;0
20211010:1810;0;0;0;0;12,5;0,62;0
20211010:1910;0;0;0;0;10,18;1,31;0
20211010:2010;0;0;0;0;7,73;2;0
20211010:2110;0;0;0;0;7,75;1,72;0
20211010:2210;0;0;0;0;8,34;1,38;0
20211010:2310;0;0;0;0;7,69;1,59;0
20211011:0010;0;0;0;0;8,02;1,59;0
20211011:0110;0;0;0;0;8,27;1,59;0
20211011:0210;0;0;0;0;8,83;1,59;0
20211011:0310;0;0;0;0;9,7;1,52;0
20211011:0410;0;0;0;0;10,32;1,86;0
20211011:0510;0;0;0;0;10,62;2,55;0
20211011:0610;0,27;0,00027;6,37;2,82;10,63;2,97;0
20211011:0710;76,92;0,07692;106,65;11,65;10,55;2,34;0
20211011:0810;220,9;0,2209;269,63;19,54;11,11;2,62;0
20211011:0910;182,3;0,1823;227,01;25,97;11,95;3,1;0
20211011:1010;279,67;0,27967;338,39;30,34;11,84;2,83;0
20211011:1110;0;0;0;0;12,64;3,79;0
20211011:1210;284,7;0,2847;345;31,01;13,08;3,72;0
20211011:1310;112,51;0,11251;148,76;27,22;13,24;3,45;0
20211011:1410;293,37;0,29337;355,24;21,23;13,46;3,45;0
20211011:1510;164,19;0,16419;209,74;13,64;13,1;2,83;0
20211011:1610;25,75;0,02575;48,59;4,99;12,69;2,76;0
20211011:1710;0;0;0;0;11,87;2,41;0
20211011:1810;0;0;0;0;11,11;2,34;0
20211011:1910;0;0;0;0;11,05;2,34;0
20211011:2010;0;0;0;0;10,73;2,41;0
20211011:2110;0;0;0;0;10,31;2,34;0
20211011:2210;0;0;0;0;9,82;2,34;0
20211011:2310;0;0;0;0;9,65;2,21;0
20211012:0010;0;0;0;0;9,47;2,07;0
20211012:0110;0;0;0;0;9,4;2,14;0
20211012:0210;0;0;0;0;8,91;2,41;0
20211012:0310;0;0;0;0;9,2;2,83;0
20211012:0410;0;0;0;0;9,21;2,83;0
20211012:0510;0;0;0;0;9,2;2,76;0
20211012:0610;0;0;5,46;2,55;9,14;2,76;0
