time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210115:1510;4,11;0,00411;13,64;4,49;1,55;2,76;0
20210115:1610;0;0;0;0;0,69;2,34;0
20210115:1710;0;0;0;0;0,01;2,21;0
20210115:1810;0;0;0;0;-0,9;2,21;0
20210115:1910;0;0;0;0;-0,32;2,14;0
20210115:2010;0;0;0;0;-0,75;2,14;0
20210115:2110;0;0;0;0;-0,99;2,14;0
20210115:2210;0;0;0;0;-0,65;1,86;0
20210115:2310;0;0;0;0;-0,76;1,93;0
20210116:0010;0;0;0;0;-0,84;1,79;0
20210116:0110;0;0;0;0;-0,87;1,24;0
20210116:0210;0;0;0;0;-0,93;1,31;0
20210116:0310;0;0;0;0;-1,08;1,1;0
20210116:0410;0;0;0;0;-0,97;1,17;0
20210116:0510;0;0;0;0;-1,34;1,59;0
20210116:0610;0;0;0;0;-1,58;1,45;0
20210116:0710;0;0;0;0;-1,51;1,59;0
20210116:0810;0;0;4,55;4,57;-1,71;1,52;0
20210116:0910;27,93;0,02793;45,47;10,87;-0,77;1,72;0
20210116:1010;14,85;0,01485;29,1;15,41;0,36;2,28;0
20210116:1110;33,72;0,03372;52,74;17,81;1,01;2,55;0
20210116:1210;47,6;0,0476;69,11;17,83;1,31;2,76;0
20210116:1310;51,53;0,05153;73,66;15,47;1,38;2,83;0
20210116:1410;29,15;0,02915;47,29;10,97;1,33;2,76;0
20210116:1510;19,71;0,01971;35,6;4,69;1,05;2,48;0
20210116:1610;0;0;0;0;0,46;2,83;0
20210116:1710;0;0;0;0;0,16;3,03;0
20210116:1810;0;0;0;0;-0,08;3,1;0
20210116:1910;0;0;0;0;-0,59;3,24;0
20210116:2010;0;0;0;0;-0,6;2,9;0
20210116:2110;0;0;0;0;-0,5;2,76;0
20210116:2210;0;0;0;0;-0,37;2,41;0
20210116:2310;0;0;0;0;-0,3;2,14;0
20210117:0010;0;0;0;0;-0,31;2;0
20210117:0110;0;0;0;0;-0,31;1,79;0
20210117:0210;0;0;0;0;-0,23;1,45;0
20210117:0310;0;0;0;0;-0,12;1,17;0
20210117:0410;0;0;0;0;-0,03;1,1;0
20210117:0510;0;0;0;0;-0,05;1,03;0
20210117:0610;0;0;0;0;-0,14;1,1;0
20210117:0710;0;0;0;0;-0,25;1,38;0
20210117:0810;13,22;0,01322;26,87;4,7;-0,14;1,17;0
20210117:0910;136,44;0,13644;166,13;11,02;0,38;0,83;0
20210117:1010;20,38;0,02038;36,38;15,58;0,99;0,97;0
20210117:1110;171,45;0,17145;205,03;17,99;1,8;1,93;0
20210117:1210;67,65;0,06765;92,28;18,03;2,19;2;0
20210117:1310;31,9;0,0319;50,93;15,68;2,81;2,14;0
