Datum     ;Uhrzeit   ;Zeit;Wärmemenge in kWh    
29.01.2019;05:00;29.01.2019 05:00;1190
29.01.2019;06:00;29.01.2019 06:00;1320
29.01.2019;07:00;29.01.2019 07:00;1310
29.01.2019;08:00;29.01.2019 08:00;1450
29.01.2019;09:00;29.01.2019 09:00;1460
29.01.2019;10:00;29.01.2019 10:00;1240
29.01.2019;11:00;29.01.2019 11:00;1430
29.01.2019;12:00;29.01.2019 12:00;1180
29.01.2019;13:00;29.01.2019 13:00;1330
29.01.2019;14:00;29.01.2019 14:00;1150
29.01.2019;15:00;29.01.2019 15:00;1220
29.01.2019;16:00;29.01.2019 16:00;1170
29.01.2019;17:00;29.01.2019 17:00;1250
29.01.2019;18:00;29.01.2019 18:00;1170
29.01.2019;19:00;29.01.2019 19:00;1270
29.01.2019;20:00;29.01.2019 20:00;1270
29.01.2019;21:00;29.01.2019 21:00;1320
29.01.2019;22:00;29.01.2019 22:00;1250
29.01.2019;23:00;29.01.2019 23:00;1210
30.01.2019;00:00;30.01.2019 00:00;1090
30.01.2019;01:00;30.01.2019 01:00;1100
30.01.2019;02:00;30.01.2019 02:00;1180
30.01.2019;03:00;30.01.2019 03:00;1090
30.01.2019;04:00;30.01.2019 04:00;1230
30.01.2019;05:00;30.01.2019 05:00;1130
30.01.2019;06:00;30.01.2019 06:00;1290
30.01.2019;07:00;30.01.2019 07:00;1340
30.01.2019;08:00;30.01.2019 08:00;1540
30.01.2019;09:00;30.01.2019 09:00;1400
30.01.2019;10:00;30.01.2019 10:00;1420
30.01.2019;11:00;30.01.2019 11:00;1340
30.01.2019;12:00;30.01.2019 12:00;1410
30.01.2019;13:00;30.01.2019 13:00;1370
30.01.2019;14:00;30.01.2019 14:00;1400
30.01.2019;15:00;30.01.2019 15:00;1290
30.01.2019;16:00;30.01.2019 16:00;1350
30.01.2019;17:00;30.01.2019 17:00;1300
30.01.2019;18:00;30.01.2019 18:00;1400
30.01.2019;19:00;30.01.2019 19:00;1270
30.01.2019;20:00;30.01.2019 20:00;1450
30.01.2019;21:00;30.01.2019 21:00;1240
30.01.2019;22:00;30.01.2019 22:00;1320
30.01.2019;23:00;30.01.2019 23:00;1200
31.01.2019;00:00;31.01.2019 00:00;1110
31.01.2019;01:00;31.01.2019 01:00;1190
31.01.2019;02:00;31.01.2019 02:00;1030
31.01.2019;03:00;31.01.2019 03:00;1200
31.01.2019;04:00;31.01.2019 04:00;1180
31.01.2019;05:00;31.01.2019 05:00;1130
31.01.2019;06:00;31.01.2019 06:00;1450
31.01.2019;07:00;31.01.2019 07:00;1260
31.01.2019;08:00;31.01.2019 08:00;1610
31.01.2019;09:00;31.01.2019 09:00;1560
31.01.2019;10:00;31.01.2019 10:00;1360
31.01.2019;11:00;31.01.2019 11:00;1400
