snapshot,grid_power
554,403.6923775111859
555,377.64458199548045
556,317.1810164200086
557,424.2949390741069
558,447.39184058312225
559,480.4337200668492
560,145.4604738950103
561,459.6371651731489
562,345.28647959816925
563,396.97376774616873
564,80.70095226389071
565,424.84242924782336
566,430.6303977904202
567,514.2197921298217
568,69.3843089790771
569,379.4387706744108
570,374.01431207033323
571,409.9980154008347
572,140.47660493371833
573,367.95207760912876
574,371.5343863877799
575,687.324962802026
576,198.78097110138748
577,432.89287040069564
578,294.7749281942432
579,360.50688241196906
580,-0.0
581,302.43078093361873
582,129.24702976679507
583,391.2510749912146
584,158.4842377408639
585,328.3626057584776
586,284.2382002736515
587,425.17072489213666
588,278.42989082724375
589,319.861028694509
590,282.0239294766442
591,394.3891174347058
592,800.0
593,800.0
594,800.0
595,800.0
596,800.0
597,800.0
598,800.0
599,800.0
600,527.886993124342
601,435.44695072795156
602,397.8381161994056
603,463.9201337097344
604,631.221229482592
605,462.1249527312213
606,419.52197079707094
607,495.1876322456134
608,800.0
609,415.2364834984844
610,423.31945455277105
611,431.98668022924943
612,328.6568489392734
613,313.154343013305
614,368.01169501543967
615,384.8015072083694
616,316.4106795614928
617,398.68654945376846
618,404.8150766841564
619,465.6774405382279
620,240.44157357419436
621,219.78885028079793
622,260.3774567070322
623,287.533487913231
624,231.38715566988776
625,360.09101990978286
626,404.16086249617484
627,494.2684875026901
628,239.851814500516
629,328.4903535888522
630,306.86251331605786
631,414.69223446721594
632,381.91017163826604
633,301.1124331421271
634,301.9207179065767
635,369.98508951417773
636,426.9958245676432
637,478.09450628940846
638,436.36881096364095
639,419.1460031794464
640,501.2024140510922
641,398.5282543709874
642,396.38027634316353
643,404.3969546282667
644,518.4477139591608
645,394.8444138469887
646,408.44969855832613
647,485.0476933224978
648,399.32161638112564
649,404.5033713503853
650,390.89491843744395
651,383.0631633232043
652,260.608706663273
653,394.1136432317014
654,489.3538784585417
655,521.2789359006719
656,241.38545382589092
657,426.32692172912607
658,324.14082902949053
659,430.90517219979824
660,-0.0
661,295.0325545833724
662,310.9531333462943
663,490.5540672436964
664,155.0494619368491
665,350.975141661356
666,248.09888610818066
667,456.2238891934254
668,193.68582512316402
669,351.0959973289737
670,369.2538228215891
671,524.5683793140297
672,-0.0
673,410.4048421758511
674,460.6406762347326
675,397.3999184434553
676,118.97010413735387
677,354.363916236082
678,307.5777807355266
679,339.73061905816337
680,112.5758973394617
681,300.1154868820343
682,305.57148308794353
683,329.4451564415349
684,259.9315066468372
685,363.58129179711034
686,325.2218789221948
687,371.8289191643241
688,260.2693562598785
689,339.00357449916663
690,318.553430887653
691,382.8478614709895
692,368.8009948172838
693,338.750108611224
694,341.9843140144795
695,455.03325437699874
696,581.3442610522308
697,478.81224087922084
698,358.93924164719044
699,358.29290412091814
700,800.0
701,452.9215076249217
702,390.57566827108826
703,407.0334834453722
704,564.819428633179
705,459.988753938063
706,369.0033585143526
707,428.203126928278
708,326.44290468846174
709,365.83081383877084
710,342.37843088765305
711,341.4460728900657
712,314.87445860407763
713,462.39840091675444
714,498.5521293457662
715,672.0844676967979
716,266.473851252871
717,334.5841994078027
718,322.8783118131175
719,406.9851101508407
720,304.97764311946565
721,424.2042801432657
722,372.8196273141015
723,564.9577341852829
724,285.73258943868206
725,393.0865066528485
726,377.18892850457104
727,530.76187461735
728,-0.0
729,87.10457988230877
730,258.5268882564304
731,314.53625191240974
732,20.74339920811218
733,174.38950766601104
734,491.49259154584234
735,543.0937545116179
736,786.3552146082113
737,579.1679136241792
738,396.44925350513864
739,407.32117132793815
740,468.2551967367764
741,354.31404701156293
742,439.5579095668613
743,372.75467540997334
744,436.3183600599807
745,438.4230212513074
746,506.53387789700946
747,409.59854201056686
748,359.83316778505167
749,437.7933232545135
750,479.2704623510675
751,452.9948859548555
752,320.3848431419128
753,488.5626923504247
754,324.71182830862176
755,476.4697857118054
756,125.41130446411756
757,326.47544700334504
758,397.62866694158646
759,764.1223443645185
760,162.1942223991528
761,436.3312982151267
762,310.3464359641448
763,301.7005188091019
764,116.141058097864
765,395.9190779725688
766,313.2214585509654
767,425.35835713775
768,-0.0
769,231.13590529709475
770,322.1849090971969
771,476.151235339076
772,141.8478111169661
773,325.0716862367249
774,296.78710311817997
775,321.67971877843684
776,167.29797941043782
777,367.5794975106937
